NAME OF FACILITY,ADDRESS OF FACILITY,Parcel ID,STREET ADDRESS OF FACILITY,STREET OF FACILITY,latitude,longitude
588 Commercial St Lot,588 COMMERCIAL ST,301940000,588,COMMERCIAL,42.367712,-71.05695800000001
28 STATE ST LLC,28 STATE ST,303694000,28,STATE,42.3592454,-71.0574839
MICHAEL ANGELO SCHOOL LOT,70 CHARTER ST,302161000,64 - 84,CHARTER,42.3677472,-71.0557675
U S COAST GUARD LOT,COMMERCIAL ST,303050000,466 490,HANOVER,42.3627663,-71.0519334
ABBEY BOYLSTON TRUST,573 - 575 BOYLSTON ST,501305000,573 575,BOYLSTON,42.3505761,-71.0765618
1983 BOYLSTON STREET TRUST,739 BOYLSTON ST,503207100,745,BOYLSTON,42.34952029999999,-71.0806295
INGALLS BUILDING,857 BOYLSTON ST,503134000,855,BOYLSTON,42.3488313,-71.0830486
RICHMOND ST LOT,174 NORTH ST/RICHMOND ST,303305010,130 -140,RICHMOND,42.363053,-71.05435800000001
133-147 NORTH ST,133-147 NORTH ST,303435000,,CROSS,42.3613019,-71.0553651
JOE TECCE LOT,NORTH WASHINGTON ST,302545000,,COOPER ST,42.36776039999999,-71.05920560000001
ENDICOTT @ STILLMAN LOT,60 ENDICOTT ST,302461000,55 57,ENDICOTT,42.363589,-71.057221
BDPW LOT,BLACKSTONE ST,303324000,,BLACKSTONE,42.3616205,-71.0561178
GOVERNMENT CENTER GARAGE,50 New Sudbury Street,302700000,100 - 300,SUDBURY,42.36247849999999,-71.0588066
LANGONE FUNERAL HOME,72-80 MERRIMAC ST,301686000,115,CAMBRIDGE ST,42.3634281,-71.06157689999999
BURROUGHS WHARF GARAGE,BURROUGHS WHARF,303040000,40 50,BATTERY,42.3663864,-71.0500564
HURLEY BUILDING,STANIFORD ST,301686000,115,CAMBRIDGE,42.3625944,-71.0638691
SALTONSTALL BUILDING,100 CAMBRIDGE ST,302726000,100,CAMBRIDGE,42.3608996,-71.0620806
MCCORMICK BLDG,1 BOWDOIN ST,302726273,1,ASHBURTON,42.3618202,-71.0621266
BOSTON VIEW APT,130-140 BOWDOIN ST,302811000,140 130,BOWDOIN,42.358631,-71.062478
BEACON ST LOT,17 BEACON ST,302806000,17,BEACON,42.358395,-71.062215
ASHBURTON PLACE LOT,12-14 ASHBURTON PL,302819000,,ASHBURTON,42.358875,-71.0622168
CENTER PLAZA GARAGE,50 CAMBRIDGE ST,302713000,1,CENTER,42.360824,-71.070447
ONE BEACON ST GARAGE,1 BEACON ST,302720000,1,BEACON,42.3584804,-71.06082669999999
PI-ALLEY GARAGE,275 WASHINGTON ST,302872000,227 235,WASHINGTON,42.3577198,-71.058331
DEVONSHIRE TOWER,ONE DEVONSHIRE PL,303895000,228 256,WASHINGTON,42.3581868,-71.0575933
CITY HALL GARAGE,1 City Hall Square,302615000,1,CITY HALL,42.3602752,-71.0579295
CITY HALL EXEC GARAGE,CITY HALL EXEC GARAGE,302615000,1,CITY HALL,42.3605683,-71.05762310000001
JFK BUILDING GARAGE,CONGRESS ST,302605000,15 55,NEW SUDBURY,42.3516043,-71.0504512
JFK LOT,15 New Sudbury,302605000,15 55,NEW SUDBURY,42.3612726,-71.0595731
UNION SQUARE OYSTER HOUSE,ALLEY 102,303344000,,CREEK,42.3600825,-71.0588801
CREEK SQUARE LOT,72 Blackstone St.,303342000,,72 86 BLACKSTONE ST,42.361307,-71.0561877
EAST CANTON STREET ASSOCIATES,79 - 109 EAST CANTON ST,801217000,599,ALBANY,42.3377255,-71.06936689999999
HAYMARKET STATION/ MTA GARAGE,136 Blackstone St.,302573000,136,BLACKSTONE,42.3622219,-71.0571094
U.S. COAST GUARD,409 423 COMMERCIAL ST,303044000,409 423,COMMERCIAL,42.367164,-71.0525056
BATTERY WHARF,377-395 COMMERCIAL ST,303041084,43501,BATTERY WHARF,42.367099,-71.05041
GREATER BOSTON COMMUNITY DEVELOPMENT,95 BERKELEY ST,500706000,21 25,CHANDLER,42.3473133,-71.07054459999999
LEWIS WHARF,45 LEWIS WHARF,303029050,,ATLANTIC,42.3629657,-71.0491428
PILOT HOUSE EXTENSION GARAGE,20 EASTERN AVE,303030020,45,LEWIS,42.3639968,-71.0504799
BOWDOIN SQUARE OFFICE BUILDING,1 BOWDOIN SQ,302621000,15,NEW CHARDON,42.3618202,-71.0621266
SARGENTS WHARF LOT,1 Eastern Ave.,303037000,1 49,EASTERN AV,42.3641651,-71.0508346
NEW GREEN APPLE,439 - 441 TREMONT ST,500693000,439 441,TREMONT,42.3467877,-71.0693848
CLINTON ST GARAGE,20 Clinton St.,303409000,20 30,CLINTON,42.3609838,-71.0548721
TAINO TOWER CONDO,143 WEST BROOKLINE ST,900240000,1 11,AGUADILLA,42.3418941,-71.07479839999999
LONG WHARF HOTEL,296 State St.,303020000,296,STATE,42.3602243,-71.0508754
FULTON ST LOT,56 FULTON ST,303465100,,FULTON,42.36203709999999,-71.0534795
CHART HOUSE REST LOT,T-WHARF,303026000,,ATLANTIC,42.3729498,-71.0526244
VIVIENDAS LA VICTORIA 2,10 SAN JUAN ST,900074000,10,SAN JUAN,42.3413917,-71.0731761
60 STATE STREET ASSOCIATES,60 STATE ST,303685000,60,STATE,42.3593837,-71.0565553
FIRST NATIONAL BANK OF BOSTON,100 FEDERAL ST,304410000,100,FEDERAL,42.355028,-71.05604459999999
51 INDIA ST,51 INDIA ST,303984020,,INDIA,42.357853,-71.0522848
53-59 INDIA ST,53-59 INDIA ST,303985020,,INDIA,42.3578495,-71.0522771
GARY B SIMON TRUST,149 NEWBURY ST,501361010,278,DARTMOUTH,42.3510145,-71.0781875
COLUMBUS CENTER,210 COLUMBUS AVE,501072000,,BERKELEY,42.348465,-71.0718761
AQUARIUM GARAGE - PUBLIC,70 EAST INDIA ROW,302995000,70,E INDIA,42.3576266,-71.0503145
RUGGIERO LOT,181 - 183 NORTH WASHINGTON ST,301474000,181 183,N WASHINGTON,42.3666762,-71.0582821
WENDELL ST LOT A,WENDELL ST,304038000,,WENDELL,42.3570064,-71.05255489999999
WENDELL ST LOT B,BATTERYMARCH ST,304037000,,BATTERYMARCH,42.3574063,-71.05375819999999
ONE POST OFFICE SQUARE GARAGE,1 POST OFFICE SQUARE,304160000,43638,PEARL,42.3566274,-71.0543268
5-15 CUSTOM HOUSE ST,5-15 CUSTOM HOUSE ST,303990444,80,BROAD,42.3577401,-71.05319659999999
BROAD & WATER ST LOT,47-49 BROAD ST,303826000,49 47,BROAD,42.35807579999999,-71.05436949999999
EXCHANGE PLACE,53 STATE ST,303870000,43 65,STATE,42.3587344,-71.0562932
NEW POST OFFICE SQUARE GARAGE,130 Congress St.,304163000,130,CONGRESS,42.3561656,-71.0555339
STATE STREET BANK BUILDING,225 FRANKLIN ST,304134000,209 245,FRANKLIN,42.3559701,-71.0539553
JAMES HOOK & CO LOT,15-17 NORTHERN AVE,302958000,440 436,ATLANTIC,42.3549617,-71.0509737
INTERNATIONAL HOTEL,500 - 520 ATLANTIC AVE,302953010,500,ATLANTIC,42.3538536,-71.05200219999999
RUSSIA WHARF LOT,530 Atlantic Ave.,302952010,520 540,ATLANTIC,42.3537627,-71.0530544
KEYSTONE BUILDING GARAGE,99 HIGH ST,304390000,73 101,HIGH,42.3544188,-71.0546518
SHAWMUT BANK BUILDING,ONE FEDERAL ST,304668000,1,FEDERAL,42.3560074,-71.05679599999999
50 MILK ST,50 MILK ST,303910000,50,MILK,42.3569814,-71.0576224
WOOLWORTH GARAGE,350 Washington St.,304630010,350,WASHINGTON,42.3564376,-71.0589754
45 PROVINCE ST,45 PROVINCE ST,304705284,45,PROVINCE,42.3573275,-71.0599445
LAFAYETTE PLACE GARAGE,CHAUNCY ST,304500200,2,DE LAFAYETTE,42.353313,-71.0605367
ONE LINCOLN ST GARAGE,ONE LINCOLN ST,304246010,1,LINCOLN,42.35272579999999,-71.05844429999999
BOSTON EDISON LOT,CHAUNCY ST,304520000,,CHAUNCY,42.353313,-71.0605367
WEST ST LOT,17-23 WEST ST,304816000,21 23,WEST,42.3547721,-71.06221169999999
MASON ST LOT,30 MASON ST,304839010,,MASON,42.3543355,-71.0629108
Hayward Place,564-580 WASHINGTON ST,304488000,580,WASHINGTON,42.3538869,-71.06203789999999
MILLENIUM PLACE SOUTH,47 BOYLSTON ST,304870416,10,AVERY,42.3524413,-71.0638216
ESSEX @ HARRISON LOT,33-37 ESSEX ST,304975000,33 -37,ESSEX,42.3522578,-71.06167409999999
BEACH ST/EXETER ST GAR,84-96 BEACH ST,304334000,109 153,LINCOLN,42.3511134,-71.0588966
EDINBORO @ PURCHASE ST LOT,22 EDINBORO ST,304421000,2 24,EDINBORO,42.3520853,-71.05974429999999
TYLER ST LOT,17 TYLER ST,305268000,,TYLER,42.350881,-71.06070799999999
BEACH ST GARAGE,36 BEACH ST,304960000,40 14,BEACH,42.3516607,-71.0617552
45 Stuart Street LLC,45 Stuart St,304910020,24 -58,LAGRANGE,42.3511359,-71.06401989999999
STATE TRANSP BLDG GARAGE,10 PARK PLAZA,500010001,133 135,STUART,42.3515322,-71.0668452
MOTOR MART GARAGE,201 Stuart St,500139000,201 241,STUART,42.351022,-71.0681042
W Boston Hotel,100 STUART ST,500075020,100,STUART,42.3508419,-71.0656551
TREMONT HOUSE HOTEL LOT,267 TREMONT ST,500064000,,TREMONT,42.3503648,-71.0654127
QUINCY ST GARAGE,885 Washington St.,305545000,885,WASHINGTON,42.3483392,-71.0644847
57 HOTEL GARAGE,200 STUART ST,500135000,210 196,STUART,42.3503716,-71.0674657
BILLY'S SERVICE LOT,222 STUART ST,500131000,222,STUART,42.3503754,-71.0684295
PINSTRIPE AUTO PARK,130 ARLINGTON ST,500773000,,ARLINGTON,42.3490112,-71.0695057
GENERAL TRADING CORPORATION,107 ARLINGTON ST,501137000,107 127,ARLINGTON,42.3495373,-71.0696829
CORTES ST LOT,CORTES ST/ARLINGTON ST,501095000,,ARLINGTON,42.3484615,-71.0693364
FIRE DEPT LOT ENG#22,174 COLUMBUS AVE,501110000,,ISABELLA,42.3488687,-71.07151209999999
PAYETTE LOT,40 ISABELLA ST,501111010,40,ISABELLA,42.348495,-71.0710307
COLUMBUS AVE LOT,206 COLUMBUS AVE,501072000,,BERKELEY,42.3485027,-71.07182879999999
366 STUART ST,STANHOPE ST,401133000,366,STUART,42.3486618,-71.0732539
The Clarendon,400 STUART ST,401129118,400,STUART,42.3488635,-71.07361829999999
MASS PIKE TOWERS LOT,366 Tremont St.,500270000,366 318,TREMONT,42.3481708,-71.06718719999999
TREMONT ST LOT,290 TREMONT ST,305599030,290,TREMONT,42.3493786,-71.0649122
NEMC GARAGE,274 TREMONT ST,305630000,284 274,TREMONT,42.3497924,-71.06472649999999
NEMC SURFACE LOT,DORE ST,305655000,,WASHINGTON,42.3503641,-71.0639874
BOSTON CHINESE EVANGELICAL CHURCH,249 HARRISON AVE,305494000,249,HARRISON,42.347282,-71.0632873
HOSPITAL LOT,148 HARRISON AVE,305095001,,HARRISON,42.3497492,-71.0618703
CARLS PARK & GO,90 TYLER ST,305132000,90,TYLER,42.3488635,-71.0612445
YMCA PARKING LOT,61 HUDSON ST,305243000,61,HUDSON,42.3495119,-71.0607038
THE METROPOLITAN (PARCEL C),1 NASSAU STREET,305424028,1,NASSAU,42.3487275,-71.0629888
60 South Street,201 Essex St,304300010,60,SOUTH,42.3521076,-71.05680559999999
WASHINGTON ST LOT,821 WASHINGTON ST,305560010,821 831,WASHINGTON,42.34896380000001,-71.0642155
PETER FANEUIL SCHOOL LOT,56 JOY ST,300154020,56,JOY,42.360413,-71.0652379
BOSTON FIRE DEPT LOT,200 CAMBRIDGE ST,300139000,,CAMBRIDGE,42.3608315,-71.065676
STANIFORD ST LOT,20 STANIFORD ST,300624000,20,STANIFORD,42.3620816,-71.0643087
CHARLES RIVER PLAZA GARAGE,CAMBRIDGE ST,300660016,161 - 209,CAMBRIDGE,42.3611182,-71.0655318
REGINA CLERI LOT,360 WILLIAM CARDINAL O'CONNELL WAY,300618000,60,WM CARD OCONNELL,42.3627477,-71.065105
AMBULATORY CARE LOT,27 N ANDERSON ST,300403000,27,N ANDERSON,42.3619593,-71.06775809999999
PARKMAN ST GARAGE,269-273 CAMBRIDGE ST,300418001,261,CAMBRIDGE,42.3614436,-71.06808989999999
FRUIT ST GARAGE,279-285 CAMBRIDGE ST,300427000,36 38,N GROVE,42.3611972,-71.06854070000001
THE NEWBRY,501 BOYLSTON STREET,501296000,485 519,BOYLSTON,42.3511284,-71.0745759
MASS EYE & EAR STORROW LOT,STORROW DRIVE WB,300943000,,LEVERETT,42.3520732,-71.08911499999999
MASS EYE & EAR CHARLES ST LOT,220 CHARLES ST,300943000,,LEVERETT,42.3607886,-71.0708586
CHARLES ST GARAGE,144 CHARLES ST,502444000,144 -162,CHARLES,42.3600018,-71.07104199999999
CAMBRIDGE ST LOT,350 CAMBRIDGE ST,502273000,,CAMBRIDGE,42.3609269,-71.0693649
BOSTON COMMON GARAGE,0 CHARLES ST,500812001,,CHARLES,42.3540071,-71.0680711
ARLINGTON ST CHURCH,20 ARLINGTON ST,501227000,20,ARLINGTON,42.3520158,-71.0712546
FIRST LUTHERAN CHURCH,299 BERKELEY ST,502838000,299,BERKELEY,42.3539314,-71.07396539999999
FIRST & SECOND CHURCH,60 MARLBOROUGH ST,502873000,64,MARLBOROUGH,42.353783,-71.0745901
LOUIS BOSTON,60 NEWBURY ST,501295000,463,BOYLSTON,42.3517961,-71.073607
JOHN HANCOCK GARAGE,100 CLARENDON ST,401134000,200,CLARENDON,42.3481645,-71.0741196
NEWBURY ST LOT,200 NEWBURY ST,503201000,200,NEWBURY,42.3500029,-71.0800936
264 BEACON ST LOT,264 BEACON,"0502639000, 0502638000, 0502637000",262 266,BEACON,42.3535705,-71.0804418
330 BEACON ST,330 BEACON ST,503289000,324 332,BEACON,42.3529333,-71.0833433
SUNOCO GAS STATION,801 BOYLSTON ST,503128000,801 807,BOYLSTON,42.3490742,-71.0821867
NEW ENGLAND COLLEGE OF OPTOM,424 BEACON ST,503509000,,BEACON,42.3518276,-71.0868716
DANKER & DONAHUE GARAGE,341 NEWBURY ST,503008000,341,NEWBURY,42.3486651,-71.0869101
MBTA,959 BOYLSTON,503066000,959,BOYLSTON,42.3479226,-71.0864971
BOSTON FIRE DEPT LOT,941 BOYLSTON,503064000,941 943,BOYLSTON,42.3480147,-71.0855649
TENNIS & RACKET CLUB,939 BOYLSTON ST-PUB ALLEY 443,503105000,927 939,BOYLSTON,42.3482437,-71.0850146
AUDITORIUM GARAGE,50 DALTON ST,401336000,50,DALTON,42.3469888,-71.085711
BACK BAY HILTON,40 Dalton,401327000,40,DALTON,42.3465566,-71.0855717
PRUDENTIAL CENTER GARAGE,800 Boylston,401037100,800,BOYLSTON,42.3473912,-71.0820284
CHRISTIAN SCIENCE GARAGE,101 BELVIDERE ST,401150001,101 -111,BELVIDERE,42.3453217,-71.0838034
MIDTOWN MOTOR INN GARAGE,200 Huntington,402304000,220 200,HUNTINGTON,42.3435217,-71.0834744
GREENHOUSE APT GARAGE,156-186 HUNTINGTON AVE,400864000,150,HUNTINGTON,42.34473819999999,-71.0824088
COLONNADE HOTEL GARAGE,118-120 HUNTINGTON AVE,400905010,118,HUNTINGTON,42.3460992,-71.0802793
ATELIER 505 GARAGE,515 TREMONT ST,500818000,527,TREMONT,42.3451049,-71.070433
WESTIN HOTEL GARAGE,10 HUNTINGTON AVE,401067000,10,HUNTINGTON,42.3485013,-71.0771688
COPLEY PLACE GARAGE,100 Huntington,400985208,100,HUNTINGTON,42.3471447,-71.0773777
MARRIOT HOTEL PARKING GARAGE,110 HUNTINGTON AVE,400985208,100,HUNTINGTON,42.34702,-71.07922200000002
131 DARTMOUTH ST,131 DARTMOUTH ST,400572000,131,DARTMOUTH,42.34704139999999,-71.0753582
MBTA,145 DARTMOUTH ST,400575000,145,DARTMOUTH,42.3474418,-71.0753118
BERKELEY ST LOT,57-75 BERKELEY ST,"0500698000, 0500699000, 0500700000, 0500701000, 0500702000",57 75,BERKELEY,42.34663279999999,-71.0705183
CHANDLER ST LOT,425 Tremont,500692000,425,TREMONT,42.34708,-71.06962
ANIMAL RESCUE LEAGUE,9 APPLETON ST,500696000,,APPLETON,42.34645,-71.0703322
JOHN J HURLEY SCHOOL,W SPRINGFIELD ST,900694000,70 42,WORCESTER,42.338942,-71.07870360000001
PELHAM ST LOT,1421 Washington,306979000,1421 1431,WASHINGTON,42.341141,-71.07080839999999
STANHOPE LOT,80 E Berkeley St,306146000,,E BERKELEY,42.3442864,-71.0670037
BOSTON AUTO EXCHANGE,1115 WASHINGTON ST,306145000,1115,WASHINGTON,42.3443514,-71.0662354
NEW ENGLAND MEDICAL CENTER,367-375 HARRISON AVE,306264000,375,HARRISON,42.3445563,-71.0647614
170 SHAWMUT LOT,340 WASHINGTON ST,306160000,170,SHAWMUT,42.3566175,-71.0588303
TEREDYNE LOT,50 Herald,306185000,50,HERALD,42.3463211,-71.0650515
BOSTON CHINESE EVANGELICAL CHURCH,120 SHAWMUT AVE,306175000,120,SHAWMUT,42.3462094,-71.0657015
110 SHAWMUT AVE LOT,110 SHAWMUT AVE,306180000,100 112,SHAWMUT,42.3465486,-71.0657026
E BERKELEY ST LOT,160 E BERKELEY ST,306266000,160,E BERKELEY,42.3440643,-71.06509799999999
LACONIA LOFTS LOT,2-98 PERRY ST,306431000,,LACONIA,42.3428239,-71.06704719999999
BCH LOT,818 HARRISON AVE,801420010,818,HARRISON,42.3357505,-71.0740988
BUMC LOT,778 Harrison,801403002,778,HARRISON,42.3358901,-71.0727026
BUMC LOT DOCTORS OFFICE LOT,720 Harrison Ave.,801243000,720,HARRISON,42.3376822,-71.0709488
BUMC GARAGE DOCTORS OFFICE BLD,720 HARRISON AVE,801254000,73 -79,E BROOKLINE,42.3376822,-71.0709488
DUPONT LOT C,120 E DEDHAM ST,801154010,549,ALBANY,42.33814659999999,-71.0679825
US POSTAL ANNEX,25 DORCHESTER AVE,305365000,25 45,DORCHESTER,42.3492721,-71.0551625
HANCOCK PAINT SUPPLY LOT,38 WAREHAM ST,801109000,30 44,WAREHAM,42.3395306,-71.0674657
HOLY CROSS LOT,600 Harrison Ave,801103000,50,MALDEN,42.3400078,-71.06765140000002
MBTA LOT C,510 HARRISON AVE,306509010,536 550,HARRISON,42.3417853,-71.06627329999999
MBTA LOT C,439 ALBANY,306509000,439,ALBANY,42.340827,-71.0654969
SAM STONE LOT,484 HARRISON AVE,306539000,466 474,HARRISON,42.3421683,-71.0657165
SOWA NORTH,65 101 PAUL SULLIVAN WAY,306539000,65 101,PAUL SULLIVAN,42.3423077,-71.0635614
TAI TUNG VILLAGE PARKING,210-262 HARRISON AVE,305021000,210 262,HARRISON,42.347599,-71.0620631
THE QUIN,380 HARRISON AVE,306570000,370 380,HARRISON,42.343914,-71.0635659
SOMERFIELD LOT,33 TRAVELER ST,306576000,,TRAVELER,42.3440733,-71.0631944
F W WEBB LOT,225 Albany St,306730000,237-241,ALBANY,42.3448483,-71.0620802
EMERGENCY RESPONSE SERVICE,480 ALBANY ST,801048010,480,ALBANY,42.339286,-71.065015
THE FLOWER MART LOT,540 ALBANY ST,801055000,540,ALBANY,42.337019,-71.0673264
B C H LOT,750 ALBANY ST,801067020,750,ALBANY,42.3344233,-71.0718066
BCH/MAIN EMPLOYEE LOT,ALBANY ST,801030030,,MASSACHUSETTS AV,42.3380646,-71.0670829
BPHC Lot,774 ALBANY ST,"0801067010, 0801067015",774,ALBANY,42.3338559,-71.0727591
HERALD ST GARAGE,120 HERALD ST,500515000,120,HERALD,42.346872,-71.0669379
99 SUMMER ST GARAGE,99 SUMMER ST,304582000,18 16,KINGSTON,42.353499,-71.0586299
125 SUMMER ST GARAGE,125 SUMMER ST,304256000,125,SUMMER,42.3530628,-71.05750739999999
150 FEDERAL ST GARAGE,150-160 FEDERAL ST,304408000,100,HIGH,42.3544524,-71.0559485
PAINE WEBBER BUILDING,265 FRANKLIN ST,304035000,265,FRANKLIN,42.3564979,-71.0533518
FRANKLIN ST GARAGE,260 FRANKLIN ST,304023000,260,FRANKLIN,42.3567453,-71.0539307
INTERNATIONAL PLACE,International Place,304060010,90,OLIVER,42.3564988,-71.0516714
MARKETPLACE CENTER GARAGE,200 STATE ST,303790000,200,STATE,42.359955,-71.0531661
75 STATE ST GARAGE,75 STATE ST,303860000,75,STATE,42.3585849,-71.0549882
1 FINANCIAL CENTER GARAGE,1 FINANCIAL CTR,304285000,655,ATLANTIC,42.35222539999999,-71.0563696
ROWES WHARF GARAGE - PUBLIC,10-30 ROWES WHARF,302961000,350,ATLANTIC,42.35687110000001,-71.0505716
COMMERCIAL @ CLARK LOT,280-292 COMMERCIAL ST,303525000,280 290,COMMERCIAL,42.364708,-71.05143090000001
TIP O'NEIL BLDG GARAGE,CAUSEWAY ST,301920000,10,CAUSEWAY,42.3655671,-71.0609242
LOVEJOY PLACE LOT,LOVEJOY PLACE,303061010,,CAUSEWAY,42.3666472,-71.06005150000001
HERITAGE ON THE GARDEN GARAGE,300 BOYLSTON ST,501170000,300,BOYLSTON,42.3518075,-71.0698484
THE FOUR SEASONS HOTEL GARAGE,200-220 BOYLSTON ST,501185000,220 200,BOYLSTON,42.3520492,-71.06830819999999
N E LIFE BLDG GARAGE,500 BOYLSTON ST,401092000,500,BOYLSTON,42.3506354,-71.0740118
SOUTH COVE MANOR LOT,120 SHAWMUT AVE,306175000,120,SHAWMUT,42.3462094,-71.0657015
DARTMOUTH ST GARAGE,128 DARTMOUTH ST/TENT CITY,400600040,100 128,DARTMOUTH,42.3466313,-71.07580329999999
PINE ST INN LOT,ALBANY @ E BERKELEY,306560000,32 60,PAUL SULLIVAN,42.34302,-71.06254489999999
BWSC LOT,MALDEN ST,801093010,120,MALDEN,42.3396343,-71.0669219
MSPCC LOT,80 WAREHAM ST,801106020,90,WAREHAM,42.3389849,-71.06669289999999
FEDERAL PLACE LOT,FEDERAL PLACE,304220000,100,SUMMER,42.3554962,-71.0565191
73 TREMONT GARAGE,73 TREMONT,304675000,4,BEACON,42.3578732,-71.0609659
125 HIGH ST GARAGE,125 HIGH ST,304102000,125 145,HIGH,42.3555144,-71.0530268
20 CUSTOM HOUSE ST,20 CUSTOM HOUSE ST,303998000,54 62,BROAD,42.35810379999999,-71.0533603
STATE HOUSE GARAGE,BOWDOIN @ DERNE ST,501615000,24,BEACON,42.3594839,-71.06283239999999
SOUTH STATION EMPLOYEE LOT,1 SOUTH STATION,305364400,640 720,ATLANTIC,42.3519155,-71.0551772
BOSTON HIGH SCHOOL LOT,ARLINGTON ST,500746000,,FAYETTE,42.3516528,-71.0705629
745 ATLANTIC AVE GARAGE,745 ATLANTIC AVE,305355000,745,ATLANTIC,42.3503027,-71.05706599999999
101 MERRIMAC ST GARAGE,101 MERRIMAC ST,301675000,,PORTLAND,42.36377419999999,-71.0616159
DUPONT LOT A,E DEDHAM ST,801153010,,E DEDHAM,42.3385724,-71.0687815
Nstar Lot,88 Warrenton Street,500081000,,WARRENTON,42.3501009,-71.0661974
FEDERAL RESERVE BANK,556 ATLANTIC AVE,304340100,,ATLANTIC,42.3536687,-71.0536315
STILLMAN @ N WASHINGTON LOT,STILLMAN ST,302528000,,STILLMAN,42.3638492,-71.0568285
DON BOSCO PARKING LOT,300 TREMONT ST,305560010,821 831,WASHINGTON,42.3486158,-71.06553699999999
COMMERCIAL WEST,COMMERCIAL WHARF WEST LOT,303028610,,ATLANTIC,42.36359789999999,-71.05036079999999
NORTH END COMMUNITY NURSING HM,70 FULTON ST,303465000,70,FULTON,42.3624521,-71.05344459999999
SUFFOLK COUNTY JAIL LOT,NASHUA ST,301934200,,NASHUA,42.3665542,-71.06702450000002
SHERIFF PARKING LOT,NASHUA ST,301934200,,NASHUA,42.3665542,-71.06702450000002
101 FEDERAL ST GARAGE,101 FEDERAL ST,304199000,101,FEDERAL,42.3550405,-71.05679719999999
TIP O'NEIL FEDERAL BLDG LOT,10 CAUSEWAY ST,301920000,10,CAUSEWAY,42.3650963,-71.0630552
PORTLAND ST LOT,151-155 PORTLAND ST,301645000,,PORTLAND,42.3641618,-71.0613407
YWCA LOT,CLARENDON ST,401085000,410,STUART,42.3494196,-71.0745821
TEREDYNE GARAGE,321 HARRISON AVE + HERALD ST,306234010,321,HARRISON,42.3462501,-71.0639837
11-17 KINGSTON ST LOT,55 SUMMER ST & 11-17 KINGSTON ST,304560000,20 4,CHAUNCY,42.3540986,-71.0592945
116 HUNTINGTON GARAGE,116 HUNTINGTON AVE,401013010,116,HUNTINGTON,42.3465172,-71.0797918
19-21 CUSTOM HOUSE ST GARAGE,21 CUSTOM HOUSE ST,303988000,19 21,CUSTOM HOUSE,42.3579895,-71.0526321
WANG BUILDING LOT,191 KNEELAND ST,305363100,185,KNEELAND,42.3496064,-71.057374
MBTA NORTH STATION/ BANK NORTH GARDEN,80 CAUSEWAY ST,301911035,100,LEGENDS,42.3647933,-71.0625007
101 ARCH STREET,93 - 101 ARCH ST,304597000,101 93,ARCH,42.355041,-71.059135
